event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_attack&positive_heavy,660,0.0025124537875722895,0.0017095330926106822,0.01651087921882478,0.5121212121212121,0.38484848484848483,long,0.5121212121212121,0.03305543029286603
has_attack&has_market_brag,123,0.004407268910605774,0.003937024280642687,0.015527035280791688,0.6178861788617886,0.3170731707317073,long,0.6178861788617886,0.030201644168653508
posts_very_high&has_attack,209,0.0036562287877917998,0.0032053005097096854,0.014487641994986837,0.5645933014354066,0.33014354066985646,long,0.5645933014354066,0.029842982761485528
has_action&high_emotion,25,0.009299798603102972,0.006135082658553781,0.021822537139605174,0.64,0.28,long,0.64,0.029759355529929508
positive_heavy&lots_of_excl,841,0.0020259596052229073,0.0010952451327630452,0.016810010708785225,0.5005945303210464,0.3983353151010702,long,0.5005945303210464,0.02941134461375324
has_action&has_russia,87,0.00593378649702185,0.001945763413556234,0.01910743859808402,0.5287356321839081,0.3333333333333333,long,0.5287356321839081,0.029263759659538525
has_attack&lots_of_excl,947,0.0018924393013819419,0.0,0.016334555370012275,0.48996832101372756,0.3917634635691658,long,0.48996832101372756,0.02853415064592748
posts_very_high&positive_heavy,209,0.0034759201323460685,0.003099375938729221,0.014142067426641204,0.5645933014354066,0.3492822966507177,long,0.5645933014354066,0.028371261923287257
has_attack,1045,0.0017996733239443328,0.0,0.01605278997565428,0.48708133971291867,0.3952153110047847,long,0.48708133971291867,0.02833696386669135
positive_heavy,871,0.0018677375418352338,0.0,0.01674906432950527,0.49827784156142363,0.399540757749713,long,0.49827784156142363,0.027466068590153426
has_positive&positive_heavy,871,0.0018677375418352338,0.0,0.01674906432950527,0.49827784156142363,0.399540757749713,long,0.49827784156142363,0.027466068590153426
has_market_brag&has_night_post,91,0.004697537716329169,0.003937024280642687,0.014435300589442654,0.5934065934065934,0.31868131868131866,long,0.5934065934065934,0.026591530812968747
has_attack&has_russia,353,0.002865245756316735,0.0,0.017176217478457535,0.49291784702549574,0.37393767705382436,long,0.49291784702549574,0.026535286042872353
positive_heavy&has_russia,264,0.0032482778485981747,0.0,0.01755449992723638,0.4962121212121212,0.39015151515151514,long,0.4962121212121212,0.026189216309190303
posts_high&has_market_brag,83,0.0048450014521255955,0.0041065579147048226,0.014877441490735516,0.5903614457831325,0.3132530120481928,long,0.5903614457831325,0.026058591953035514
has_attack&has_positive,967,0.0017298424244369679,0.0,0.016350503685533067,0.48293691830403307,0.4043433298862461,long,0.48293691830403307,0.02597826768331397
attack_heavy&positive_heavy,306,0.0026245181247347782,0.002192951490842976,0.0149256116417165,0.5555555555555556,0.34967320261437906,long,0.5555555555555556,0.025505731554130148
has_market_brag&short_posts,72,0.004904228728692648,0.0042271868941791135,0.010077439388031597,0.6111111111111112,0.2638888888888889,long,0.6111111111111112,0.025430631530688648
has_action&has_attack,211,0.003385857971514162,0.001945763413556234,0.017471158263809735,0.5165876777251185,0.3791469194312796,long,0.5165876777251185,0.025407036228188632
has_market_brag,175,0.003384618944515721,0.003099375938729221,0.01460764758029673,0.5657142857142857,0.34285714285714286,long,0.5657142857142857,0.02532946117087844
has_iran&volume_spike,23,0.008560769284138885,0.006993271635896026,0.013199127707259426,0.6086956521739131,0.2608695652173913,long,0.6086956521739131,0.02499061307624032
posts_very_high&lots_of_excl,238,0.002933448179871027,0.002268802906677192,0.0144451009763427,0.5462184873949579,0.35714285714285715,long,0.5462184873949579,0.024719136429516342
posts_very_high&has_china,121,0.0038194324714470617,0.003384017541575801,0.01472493103322198,0.5867768595041323,0.3140495867768595,long,0.5867768595041323,0.024652700497521943
posts_very_high&has_russia,114,0.004306346945283111,0.0018871476566314493,0.013978420194550416,0.5263157894736842,0.34210526315789475,long,0.5263157894736842,0.02419958069220199
has_positive&lots_of_excl,1179,0.001453676292872333,0.0,0.016479395459604928,0.48346055979643765,0.40458015267175573,long,0.48346055979643765,0.024131574608936196
has_attack&short_posts,350,0.0025733222436228774,0.0,0.014499904596426959,0.49714285714285716,0.37714285714285717,long,0.49714285714285716,0.02393367559376878
posts_very_high&has_market_brag,42,0.005335842160559603,0.006070301569448655,0.011149871585761004,0.6904761904761905,0.2857142857142857,long,0.6904761904761905,0.023876811287056078
has_market_brag&has_russia,49,0.00595662915361744,0.003384017541575801,0.01676453978671367,0.5714285714285714,0.3469387755102041,long,0.5714285714285714,0.023826516614469755
open_deal&short_posts,39,0.006739456832992503,0.006779738098710242,0.022310846465608828,0.5641025641025641,0.38461538461538464,long,0.5641025641025641,0.023741889166955715
posts_high&posts_very_high,240,0.0028034787299588706,0.002268802906677192,0.014539793367731637,0.5458333333333333,0.35833333333333334,long,0.5458333333333333,0.023706254377794046
posts_very_high,240,0.0028034787299588706,0.002268802906677192,0.014539793367731637,0.5458333333333333,0.35833333333333334,long,0.5458333333333333,0.023706254377794046
has_market_brag&lots_of_excl,161,0.0032498385276115106,0.003099375938729221,0.014567654976103676,0.5714285714285714,0.3416149068322981,long,0.5714285714285714,0.02356333037230797
has_positive&has_market_brag,168,0.0031676067502673113,0.002872366359220835,0.014642765095659366,0.5654761904761905,0.35119047619047616,long,0.5654761904761905,0.023216685814117125
lots_of_excl,1246,0.0013601672350477007,0.0,0.016580921035151196,0.4799357945425361,0.40369181380417335,long,0.4799357945425361,0.02304275868868284
positive_heavy&has_market_brag,122,0.003430490197297365,0.0035576717090584076,0.014992890016120235,0.5983606557377049,0.3360655737704918,long,0.5983606557377049,0.02267248521918204
has_positive,1409,0.0012757500109308634,0.0,0.016146343869790247,0.47196593328601844,0.40596167494677077,long,0.47196593328601844,0.022601212024358826
has_attack&attack_heavy,414,0.0021240784186795977,0.0018001385929186098,0.014706716787398431,0.5217391304347826,0.3671497584541063,long,0.5217391304347826,0.02254883594950947
attack_heavy,414,0.0021240784186795977,0.0018001385929186098,0.014706716787398431,0.5217391304347826,0.3671497584541063,long,0.5217391304347826,0.02254883594950947
posts_high&has_attack,529,0.0020014663962078186,0.0,0.016127675832449062,0.4877126654064272,0.391304347826087,long,0.4877126654064272,0.022451231748765968
posts_very_high&has_positive,238,0.002677082001738253,0.0020869788024291402,0.014533179823556213,0.542016806722689,0.36134453781512604,long,0.542016806722689,0.022385299330977704
attack_heavy&has_positive,395,0.0021472638388746585,0.001801644210975617,0.01487425151649855,0.5240506329113924,0.369620253164557,long,0.5240506329113924,0.022364397774633983
positive_heavy&short_posts,296,0.0025093471682718833,0.002139473689416249,0.01677250093215983,0.5135135135135135,0.3918918918918919,long,0.5135135135135135,0.02216963191560728
lots_of_excl&short_posts,449,0.0021167797778804762,0.0,0.015666567313729327,0.4922048997772829,0.3830734966592428,long,0.4922048997772829,0.022077240115426944
attack_heavy&lots_of_excl,406,0.0020819401304145633,0.0017659020103640843,0.01475530931164265,0.5197044334975369,0.3669950738916256,long,0.5197044334975369,0.021801565249423723
attack_heavy&high_emotion,32,0.006164559949531006,0.0025321224563484845,0.016573007577778586,0.625,0.28125,long,0.625,0.02179501071672188
has_positive&has_russia,392,0.0023464823427199566,0.0,0.017032677757623113,0.46683673469387754,0.4005102040816326,long,0.46683673469387754,0.02168829174959538
volume_drop,387,0.0023863522235990815,0.0,0.017549825651338728,0.4599483204134367,0.3875968992248062,long,0.4599483204134367,0.021592307942927595
posts_low&deal_over_tariff,24,0.006883615011298,0.005226355182634257,0.013081840108519769,0.625,0.25,long,0.625,0.02107668045430345
