event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_attack&has_market_brag,123,0.004407268910605774,0.003937024280642687,0.015527035280791688,0.6178861788617886,0.3170731707317073,long,0.6178861788617886,0.030201644168653508
posts_very_high&has_attack,209,0.0036562287877917998,0.0032053005097096854,0.014487641994986837,0.5645933014354066,0.33014354066985646,long,0.5645933014354066,0.029842982761485528
has_action&high_emotion,25,0.009299798603102972,0.006135082658553781,0.021822537139605174,0.64,0.28,long,0.64,0.029759355529929508
posts_very_high&positive_heavy,209,0.0034759201323460685,0.003099375938729221,0.014142067426641204,0.5645933014354066,0.3492822966507177,long,0.5645933014354066,0.028371261923287257
has_market_brag&has_night_post,91,0.004697537716329169,0.003937024280642687,0.014435300589442654,0.5934065934065934,0.31868131868131866,long,0.5934065934065934,0.026591530812968747
posts_high&has_market_brag,83,0.0048450014521255955,0.0041065579147048226,0.014877441490735516,0.5903614457831325,0.3132530120481928,long,0.5903614457831325,0.026058591953035514
attack_heavy&positive_heavy,306,0.0026245181247347782,0.002192951490842976,0.0149256116417165,0.5555555555555556,0.34967320261437906,long,0.5555555555555556,0.025505731554130148
has_market_brag&short_posts,72,0.004904228728692648,0.0042271868941791135,0.010077439388031597,0.6111111111111112,0.2638888888888889,long,0.6111111111111112,0.025430631530688648
has_market_brag,175,0.003384618944515721,0.003099375938729221,0.01460764758029673,0.5657142857142857,0.34285714285714286,long,0.5657142857142857,0.02532946117087844
has_iran&volume_spike,23,0.008560769284138885,0.006993271635896026,0.013199127707259426,0.6086956521739131,0.2608695652173913,long,0.6086956521739131,0.02499061307624032
posts_very_high&has_china,121,0.0038194324714470617,0.003384017541575801,0.01472493103322198,0.5867768595041323,0.3140495867768595,long,0.5867768595041323,0.024652700497521943
posts_very_high&has_market_brag,42,0.005335842160559603,0.006070301569448655,0.011149871585761004,0.6904761904761905,0.2857142857142857,long,0.6904761904761905,0.023876811287056078
has_market_brag&has_russia,49,0.00595662915361744,0.003384017541575801,0.01676453978671367,0.5714285714285714,0.3469387755102041,long,0.5714285714285714,0.023826516614469755
open_deal&short_posts,39,0.006739456832992503,0.006779738098710242,0.022310846465608828,0.5641025641025641,0.38461538461538464,long,0.5641025641025641,0.023741889166955715
has_market_brag&lots_of_excl,161,0.0032498385276115106,0.003099375938729221,0.014567654976103676,0.5714285714285714,0.3416149068322981,long,0.5714285714285714,0.02356333037230797
has_positive&has_market_brag,168,0.0031676067502673113,0.002872366359220835,0.014642765095659366,0.5654761904761905,0.35119047619047616,long,0.5654761904761905,0.023216685814117125
positive_heavy&has_market_brag,122,0.003430490197297365,0.0035576717090584076,0.014992890016120235,0.5983606557377049,0.3360655737704918,long,0.5983606557377049,0.02267248521918204
attack_heavy&high_emotion,32,0.006164559949531006,0.0025321224563484845,0.016573007577778586,0.625,0.28125,long,0.625,0.02179501071672188
posts_low&deal_over_tariff,24,0.006883615011298,0.005226355182634257,0.013081840108519769,0.625,0.25,long,0.625,0.02107668045430345
posts_very_high&attack_heavy,142,0.002950984073827464,0.0032001423106151616,0.012018896309817806,0.5845070422535211,0.30985915492957744,long,0.5845070422535211,0.020554209834107353
has_deal&has_market_brag,64,0.003929095623821559,0.003958101900167987,0.014046263843007356,0.640625,0.296875,long,0.640625,0.02013661507208549
posts_very_high&has_action,76,0.003963518366821888,0.0032946590256427433,0.015089871291115761,0.5657894736842105,0.32894736842105265,long,0.5657894736842105,0.019549809708928723
attack_heavy&has_market_brag,61,0.003956202010556007,0.003731325876541014,0.01585264280406458,0.6229508196721312,0.32786885245901637,long,0.6229508196721312,0.019248510949001964
posts_very_high&pre_action,26,0.006529526755635553,0.00252683865664427,0.016816316475369842,0.5769230769230769,0.34615384615384615,long,0.5769230769230769,0.019208183273949155
has_china&volume_spike,57,0.0044586028122068485,0.002617758225618161,0.0144833185506405,0.5614035087719298,0.2807017543859649,long,0.5614035087719298,0.018897803814621344
has_relief&attack_heavy,27,0.006441230114949171,0.0020367614931331435,0.022324456390088926,0.5555555555555556,0.4074074074074074,long,0.5555555555555556,0.01859422970389114
has_iran&has_russia,49,0.004770094290276969,0.0020791823209929117,0.013234422384834334,0.5510204081632653,0.30612244897959184,long,0.5510204081632653,0.018398935119639734
has_market_brag&deal_only,49,0.003952982874793128,0.003384017541575801,0.012615958320707762,0.6530612244897959,0.2653061224489796,long,0.6530612244897959,0.018070778856197157
posts_very_high&deal_heavy,43,0.004853660604702601,0.0034071877571801856,0.01873470832898543,0.5581395348837209,0.3953488372093023,long,0.5581395348837209,0.017764231274323968
